Rank,MovieID,Title,Genres,PredictedRating
1,2905,Sanjuro (1962),Action|Adventure,5.0
2,2762,"Sixth Sense, The (1999)",Thriller,4.828946200360058
3,2324,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama,4.733607756541477
4,50,"Usual Suspects, The (1995)",Crime|Thriller,4.712796875449725
5,745,"Close Shave, A (1995)",Animation|Comedy|Thriller,4.6961261437891615
6,3245,I Am Cuba (Soy Cuba/Ya Kuba) (1964),Drama,4.695760067268361
7,911,Charade (1963),Comedy|Mystery|Romance|Thriller,4.692490382568621
8,1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,4.668692775846517
9,2858,American Beauty (1999),Comedy|Drama,4.6533312544806344
10,3338,For All Mankind (1989),Documentary,4.651667049807407
