Rank,MovieID,Title,Genres,PredictedRating
1,670,"World of Apu, The (Apur Sansar) (1959)",Drama,4.078362662331095
2,3435,Double Indemnity (1944),Crime|Film-Noir,3.995201059693598
3,1178,Paths of Glory (1957),Drama|War,3.928742954125889
4,2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama,3.923258993051997
5,53,Lamerica (1994),Drama,3.910062341960525
6,3038,"Face in the Crowd, A (1957)",Drama,3.9050730175741926
7,912,Casablanca (1942),Drama|Romance|War,3.888827288885565
8,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Film-Noir,3.886369861057986
9,668,Pather Panchali (1955),Drama,3.880231678977749
10,2905,Sanjuro (1962),Action|Adventure,3.8697099400272355
