Rank,MovieID,Title,Genres,PredictedRating
1,2762,"Sixth Sense, The (1999)",Thriller,4.523198320754557
2,2905,Sanjuro (1962),Action|Adventure,4.499711999520687
3,3245,I Am Cuba (Soy Cuba/Ya Kuba) (1964),Drama,4.4480698968701144
4,3338,For All Mankind (1989),Documentary,4.441346199506767
5,3038,"Face in the Crowd, A (1957)",Drama,4.43761160440304
6,649,Cold Fever (Á köldum klaka) (1994),Comedy|Drama,4.427790406921682
7,1224,Henry V (1989),Drama|War,4.426450217457227
8,787,"Gate of Heavenly Peace, The (1995)",Documentary,4.40040325735911
9,3140,"Three Ages, The (1923)",Comedy,4.393060567853892
10,53,Lamerica (1994),Drama,4.391176362837898
